STATE,COUNTY,TRACT,NAME,ct10,ct9,MSSAdef,NCHS_County,NCHS_CBSA,NCHS_2013code,NCHS_2006code,NCHS_1990basedcode,NCHS2013_text
6,57,1203,12.03,6057001203,57001203,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,1204,12.04,6057001204,57001204,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,1205,12.05,6057001205,57001205,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,57,1206,12.06,6057001206,57001206,Rural,Nevada County,"Truckee-Grass Valley, CA",5,5,6,Micropolitan
6,59,1101,11.01,6059001101,59001101,Urban,Orange County,"Los Angeles-Long Beach-Anaheim, CA",1,1,1,Large central metro
6,59,1103,11.03,6059001103,59001103,Urban,Orange County,"Los Angeles-Long Beach-Anaheim, CA",1,1,1,Large central metro
6,59,1202,12.02,6059001202,59001202,Urban,Orange County,"Los Angeles-Long Beach-Anaheim, CA",1,1,1,Large central metro
6,59,1301,13.01,6059001301,59001301,Urban,Orange County,"Los Angeles-Long Beach-Anaheim, CA",1,1,1,Large central metro
6,59,1304,13.04,6059001304,59001304,Urban,Orange County,"Los Angeles-Long Beach-Anaheim, CA",1,1,1,Large central metro
6,59,1401,14.01,6059001401,59001401,Urban,Orange County,"Los Angeles-Long Beach-Anaheim, CA",1,1,1,Large central metro
6,59,1402,14.02,6059001402,59001402,Urban,Orange County,"Los Angeles-Long Beach-Anaheim, CA",1,1,1,Large central metro
6,59,1403,14.03,6059001403,59001403,Urban,Orange County,"Los Angeles-Long Beach-Anaheim, CA",1,1,1,Large central metro
